agency_id,agency_name,agency_url,agency_timezone,agency_phone,agency_fare_url,agency_lang,agency_email
VILJANDIMAA_10085032,GoBus AS,http://www.gobus.ee,Europe/Tallinn,+3727362290,https://tpilet.ee,et,info@gobus.ee
NARVA_10085032,GoBus AS,http://www.gobus.ee,Europe/Tallinn,+372 736 2290,http://www.pilet.ee,et,ita@gobus.ee
POLVAMAA_10085032,GoBus AS,https://www.gobus.ee,Europe/Tallinn,+372 640 4000,https://maakonnad.pilet.ee,et,info@gobus.ee
77000306,Saaremaa vald,http://saaremaavald.ee,Europe/Tallinn,4550530,https://www.saarelaevapiletid.ee,et,vald@saaremaavald.ee
SAAREMAA_10085032,GoBus AS,https://www.gobus.ee,Europe/Tallinn,+372 736 2290,https://maakonnad.pilet.ee/et/home,et,klienditugi@gobus.ee
PARNUMAA_10117921,Aktsiaselts MK Autobuss,https://mkautobuss.ee/,Europe/Tallinn,+372 554 9236,https://parnu.pilet.ee/,et,parnu@mkautobuss.ee
PARNUMAA_10926425,Atko Bussiliinid AS,https://atko.ee/,Europe/Tallinn, +372 4424 096,https://parnu.pilet.ee/,et,grupp@atko.ee
PARNUMAA_10085032,GoBus AS,https://gobus.ee/,Europe/Tallinn,+372 640 4000,https://parnu.pilet.ee/,et,info@gobus.ee
PARNUMAA_10077848,SEBE Aktsiaselts,https://www.sebe.ee,Europe/Tallinn,+372 4499 060,https://parnu.pilet.ee/,et,parnuinfo@sebe.ee
10312960,Tallinna Linnatranspordi AS,https://transport.tallinn.ee,Europe/Tallinn,+372 643 4142,https://tallinn.pilet.ee/,et,info@tlt.ee
VORUMAA_10085032,GoBus AS,https://www.gobus.ee,Europe/Tallinn,+372 640 4000,https://maakonnad.pilet.ee,et,info@gobus.ee
RAKVERE_10230847,HANSABUSS AS,https://www.hansabuss.ee,Europe/Tallinn,+372 6713260,https://rakvere.pilet.ee,et,liinid@hansabuss.ee
LAANEMAA_10085032,GoBus AS,http://www.gobus.ee,Europe/Tallinn,+372 640 4000,https://iil.ee,et,klienditugi@gobus.ee
LAANEMAA_10734513,MK Reis OÜ,http://www.reis.ee,Europe/Tallinn,+372 555 64006,https://iil.ee,et,info@reis.ee
16043603,ATG Bussipark OÜ,http://www.peatus.ee,Europe/Tallinn,+372 6272710,http://www.peatus.ee,et,trans@atko.ee
JARVAMAA_10085032,GoBus AS,http://www.gobus.ee,Europe/Tallinn,+372 736 2290,http://www.gobus.ee,et,klienditugi@gobus.ee
RAPLAMAA_10230847,HANSABUSS AS,http://www.hansabuss.ee,Europe/Tallinn,+372 600 7755,https://iil.ee,et,liinid@hansabuss.ee
RAPLAMAA_10085032,GoBus AS,http://www.gobus.ee,Europe/Tallinn,+372 640 4000,https://iil.ee,et,klienditugi@gobus.ee
HIIUMAA_10230847,HANSABUSS AS,https://www.hansabuss.ee,Europe/Tallinn,+37258558338,https://maakonnad.pilet.ee/et/home,et,teated@hansabuss.ee
PARNU_10077848,SEBE Aktsiaselts,https://www.sebe.ee/,Europe/Tallinn,+372 6064969,https://www.sebe.ee/,et,info@pytk.ee
10315213,Osaühing Bristol Takso,https://www.bristoltakso.ee/,Europe/Tallinn,+372 443 0600,https://www.bristoltakso.ee/,et,info@pytk.ee
11321747,Piiroja Invest OÜ,https://vurr.eu/,Europe/Tallinn,56699550,https://vurr.eu/,et,info@pytk.ee
16038306,ATG Bussiliinid OÜ,https://atko.ee/,Europe/Tallinn,+372 6272710,https://maakonnad.pilet.ee/et/home,et,grupp@atko.ee
VALGAMAA_10085032,GoBus AS,https://gobus.ee/,Europe/Tallinn,+372 640 4000,https://maakonnad.pilet.ee/et/home,et,klienditugi@gobus.ee
TARTU_10077848,SEBE Aktsiaselts,https://www.sebe.ee/,Europe/Tallinn,+372 6064969,https://tartu.pilet.ee/et/home,et,info@sebe.ee
TARTU_10085032,GoBus AS,http://www.gobus.ee,Europe/Tallinn,+372 640 4000,https://tartu.pilet.ee/et/home,et,klienditugi@gobus.ee
TARTU_10230847,HANSABUSS AS,https://hansabuss.ee/,Europe/Tallinn,+372 5213555,https://tartu.pilet.ee/et/home,et,tartu@hansaliinid.ee
10715869,SIA NORMA-A EESTI Filiaal,https://ecolines.net/et-EE,Europe/Tallinn,+3726062217,https://ecolines.net/et-EE/tickets,et,booking@ecolines.ee
100084,Flixbus Polska sp.o.o,https://www.flixbus.ee/bussiliinid,Europe/Tallinn,+48223079334,https://www.flixbus.ee,et,uslugi@flixbus.pl
14868446,FlixBus Estonia OÜ,https://www.flixbus.com/bus-routes,Europe/Tallinn,6708401,https://www.flixbus.com/,et,estonia@flixbus.com
14144978,Highway Riders OÜ,http://highwayriders.eu/,Europe/Tallinn,+37256958080,https://www.tpilet.ee/,et,charter@highwayriders.eu​
KAUGLIINID_RAHVUSVAHELINE_10092807,AS Lux Express Estonia,https://luxexpress.eu/all-routes/,Europe/Tallinn,+3726800909,https://luxexpress.eu/,et,info@luxexpress.eu
11522011,OV Ida-Bus OÜ,https://www.peatus.ee,Europe/Tallinn,+372 5358 6017,https://kohtla-jarve.ee/linn-uudised-ja-kontakt/linna-info/uhistransport/,et,vladislav-rukin@yandex.ru
KOHTLA_JARVE_10085032,GoBus AS,https://peatus.ee/,Europe/Tallinn,+372 640 4000,https://kohtla-jarve.ee/linn-uudised-ja-kontakt/linna-info/uhistransport/,et,klienditugi@gobus.ee
12012468,NAJA OÜ,https://www.peatus.ee,Europe/Tallinn,+372 5540170,https://kohtla-jarve.ee/linn-uudised-ja-kontakt/linna-info/uhistransport/,et,oksanatu@mail.ru
10579290,OSAÜHING FREMANTI,https://www.peatus.ee,Europe/Tallinn,+37256904537,https://kohtla-jarve.ee/linn-uudised-ja-kontakt/linna-info/uhistransport/,et,vos.lia@gmail.com
JOGEVAMAA_10085032,GoBus AS,https://gobus.ee,Europe/Tallinn,55980420,https://gobus.ee,ET,info@gobus.ee
12701825,Eesti Bussiliinid OÜ,https://atko.ee/,Europe/Tallinn,+372 7760321,https://uhistransport.ee/,et,jogeva@atko.ee
